#Table1
ra,dec,deVRad_r,z
190.75925543688,11.6980461009962,4.092391,0.003688498
189.134898812664,13.748390666963,29.66786,0.002906794
189.127580996282,13.6382794905305,29.6708,0.002511213
189.540238493941,13.5809328460694,0.3143624,0.002029296
190.610433700625,11.7402980308832,29.66746,0.003759269
190.480562049374,11.6677208469944,0.4034588,0.002369239
190.781943543566,12.0511922174776,29.67427,0.006724186
190.414211289504,12.2474930753225,29.67445,0.003092321
190.740708991367,12.2869526728719,29.669,0.005596006
185.32429213785,11.510386102432,29.67412,0.001119565
185.270016397169,11.7546009048687,29.67725,0.004826369
185.275061614517,11.5953500347674,29.6761,0.003127718
189.228514079414,12.5200723985899,29.6779,0.005747533
188.863422443562,12.750219093304,21.34719,0.002463399
189.342278799575,12.2870320898663,29.67781,0.001462067
188.811209322588,12.2374230076557,22.41348,0.002507375
188.902573152438,12.2585648415307,29.67044,0.004176011
188.939668304925,12.1813930382936,10.45843,0.00264265
189.875176801187,12.6808792956537,29.66936,0.002008947
189.574473330116,13.1099013184556,29.66555,0.005723478
189.073963606442,13.5756538899256,29.66515,0.002860079
189.12546644152,13.542569798581,29.67074,0.003562402
188.281404424399,14.5749450095336,29.67085,0.003142768
190.05575106293,12.8747798694803,29.67312,0.00520503
186.448161982111,14.9518895339102,29.67557,0.001646185
186.346491081411,14.8034809463635,29.67314,0.00465058
186.746471851635,14.7823683851018,29.66836,0.006256429
186.90651587466,14.4555348400925,14.45872,0.004153254
186.198171261062,14.576315969677,29.5724,0.004153254
186.006224851591,12.2048001380806,29.67406,0.007680642
186.412179721523,12.3137651562298,29.55869,0.005717606
187.974384443563,14.306490922111,29.6656,0.001518313
186.942792710136,11.4350985146111,29.6743,0.004153254
186.726392939681,11.6639668308065,29.68102,0.007024408
186.883370416371,11.6152283349971,19.09943,0.004598775
186.05203582123,11.529453534711,23.82295,0.00573445
187.180249249034,14.9995196557349,29.66685,0.005566211
187.496257608719,12.3486754640159,20.25883,0.006533217
187.413524235292,12.5482380584645,29.67433,0.003641615
187.347967327233,12.450781723559,29.66189,0.00149446
187.435740091747,15.024782912517,29.66942,0.004406098
186.233825555342,11.8320701121432,19.11717,0.006149103
186.52214643472,11.8122143698299,29.67197,0.00411457
187.242250645256,12.661741985689,5.587834,0.004720885
186.215106706113,13.1111640604306,29.67558,0.003054866
186.422049659401,13.0475650182903,15.01946,0.001899721
186.264508625876,13.2446915292097,14.72417,0.003191738
188.011396691286,11.8900739882171,24.39326,0.003341991
185.969266808024,13.8825139644592,3.587604,0.002155446
186.435990886789,13.0221016553996,16.35189,0.002415086
187.173788485189,12.9159105330885,29.67777,0.001527761
188.05100550227,12.0615422345281,29.66844,0.003284429
185.99044879437,12.8871171092569,29.66706,0.001835023
186.527863536211,12.8609824458852,0.7157283,0.004153254
187.845652128668,11.4925648346986,19.12318,0.004182466
188.023647331971,11.8180268732689,29.67085,0.00297581
187.815545787374,12.3318089221447,16.33842,0.00595475
187.983074242142,12.1741207946169,29.67127,0.001284503
187.693281340447,12.0990550524365,16.14716,0.004219448
187.885511692071,11.6247090409062,29.67038,0.003475524
187.702523604042,12.0452239769563,5.30685,0.004184757
186.423666029785,12.8105090524984,15.23646,0.001793675
186.482061148399,12.7697165957619,29.66994,0.002295008
186.805576898151,12.7347767585981,29.66813,0.006309985
187.116914814017,12.8236708768804,29.66689,0.005693547
186.852128712216,13.7161672302044,25.32485,0.001109473
187.020536021455,13.6120160274664,25.09681,0.002869184
186.323067407008,14.1725531096228,23.18938,0.002143845
186.696097206147,12.4539779645783,29.67206,0.00470485
187.0986557701,13.1957472809999,29.6716,0.005570565
186.634962704211,13.5787716372588,19.08002,0.004153254
187.378740096936,14.0490839867413,24.1518,0.00296556
187.061962311257,11.7898315846438,1.445766,0.002209407
187.127385517186,11.9480800182474,1.248755,0.003575602
187.001858878355,11.9497687164727,24.74979,0.007392905
186.921820213715,12.315898467508,29.67103,0.003716861
187.07808678015,11.7002914319961,26.72999,0.004924574
187.03588995856,12.0932901291969,29.67252,0.006410731
186.762785853877,12.5608198808727,29.67979,0.002770019
186.638360532961,12.7429675563726,9.183341,0.004329188
188.30837225166,12.8578172547547,29.66902,0.006623867
188.452817632811,12.7800372091219,7.368028,0.003694457
188.417979396134,12.7371000146862,3.076525,0.003924067
188.608474920917,11.9169612114901,29.66894,0.007503176
188.184149206984,14.1961831441885,29.66619,0.006304035
188.548056344113,12.0489647744172,18.97073,0.006886645
188.528079264716,12.741597845233,29.66513,0.005030092
188.632531326158,13.5036738023192,29.66991,0.00267705
188.465079066535,13.3224490149293,16.49011,0.005383598
188.784002627765,13.4853432875953,29.67497,0.005856981
188.782353624027,13.5644116596535,1.705478,0.002685612
187.970394675667,12.2664070008133,0.9885203,0.003263496
187.831557425503,12.6115166562388,29.66934,0.00588923
187.963928262128,12.6569814835516,29.67059,0.004153254
188.00310224552,12.6203176754223,29.67444,0.001643762
187.685923211919,13.7994313922344,24.76336,0.004153254
187.966670159631,12.4818074662504,29.67194,0.002923812
187.576545767835,13.5776390333476,29.6752,0.0028272
185.37781902318,12.6542160528942,12.95158,0.001091426
184.951143464569,12.7907059900162,29.67357,0.003066019
