#Table1
ra,dec,deVRad_r,z
203.622339514863,13.1136857679333,4.807196,0.1868917
202.302003779754,13.6497039086915,1.875814,0.1434809
201.660981219643,13.3363581875772,1.531556,0.1502258
201.130733729427,14.0988219740099,5.48727,0.3594724
201.131396300939,14.1612516664176,2.959864,0.1501902
201.648377601589,13.3488656139226,5.69067,0.1495072
200.997167847728,13.6498352236704,3.296768,0.4917884
200.991166059348,15.0286859036796,0.5809124,0.4055854
201.991612301906,13.4913897352426,0.3294769,0.4369132
202.063510099911,13.3874654814934,5.116701,0.1444555
201.022638850938,13.8364061001443,0.9990076,0.1497796
201.037711879508,13.8314150954661,4.674613,0.1498759
201.041467786438,13.848713989606,2.070881,0.1517918
201.062044066678,13.821666296465,3.297153,0.1491716
203.27845358406,14.5155720000319,2.460109,0.1897235
203.298003837416,14.5210775613637,1.4309,0.3275649
203.456406997509,14.5077137109342,2.388709,0.2027761
200.86863318589,12.6947613618797,1.952644,0.136498
200.943144151021,12.5533455884437,1.95146,0.2018296
201.198408379426,12.5988848371581,1.82887,0.3937932
201.22141368987,12.5745425428418,1.158814,0.330599
202.034789765276,12.3673085850637,2.157454,0.2058861
201.039182782953,12.6418204237144,1.893736,0.1576491
200.577385499072,13.2650596180877,7.251678,0.1607698
202.403679283448,13.1698352349204,9.115001,0.1610459
202.281481363033,14.0521197290764,3.265193,0.3530689
202.642617385124,14.4183229544949,1.104766,0.1420624
203.054008090956,14.8551632626614,2.990287,0.2037188
201.674778786958,15.2414970413294,1.717091,0.3540221
202.270652828869,15.2275833738187,1.57248,0.3761573
201.693794948707,13.5260352494432,1.325936,0.1432383
201.795587103294,13.4673532688887,2.446674,0.1432524
201.885593339202,13.4941853147898,2.470752,0.1433993
201.779304379757,13.518589881747,4.098563,0.3007832
202.390428940297,13.3101374197569,2.856865,0.3899878
203.502161195068,13.2094054194294,1.874934,0.1085298
201.621706608267,13.7846017434746,1.656529,0.3026429
200.848877611714,14.3032832507188,2.352351,0.1528459
200.867532721331,14.2949640886189,6.735099,0.1529233
202.73367986417,14.6224878425381,2.310618,0.4135816
202.823702845435,14.5440759125291,5.431036,0.3646153
201.381726285814,12.7076603434862,1.222394,0.3303056
201.411835771592,12.5450423510423,7.939629,0.1085475
201.377509591998,12.3611940140175,3.147328,0.2056271
201.688098941571,12.4147673867496,3.296742,0.16312
201.29133778885,12.9532125465798,2.448921,0.1450764
201.287147189791,12.9558378664133,6.374028,0.158607
201.768895013551,13.0176710320153,3.948082,0.3291653
201.166020664869,13.0894103209405,1.912592,0.1429095
201.985627783792,14.0565538107942,2.115589,0.1502087
202.106775711508,13.9821963470825,1.533951,0.378002
202.753092062495,14.9186976611986,2.361115,0.1757457
202.78264130484,15.183901187167,1.838443,0.2520259
203.70671308748,13.6122414007608,5.697903,0.1449806
201.014847268127,14.4178406938432,2.317915,0.2077406
202.447900598268,14.6093399633789,2.391626,0.4125107
202.114881132139,15.0915235972518,4.107328,0.3549736
202.773268393775,14.9654836021008,1.986545,0.1469567
202.815151984133,14.980491001387,0.3250476,0.231364
202.802440354254,14.9941965521127,1.739784,0.1490721
202.161174645152,12.1646045272772,1.045229,0.2048808
202.260482987169,12.1611368018806,6.437165,0.112255
202.322790146021,12.7933841911792,4.277853,0.205147
202.299408844087,12.6287892347474,1.923933,0.1143937
202.884800168951,12.6491330006331,2.25227,0.2435816
201.872162417898,13.214825280955,1.941894,0.4370254
201.921885860647,13.1967424667051,1.43781,0.1468595
201.947759641507,13.1831293944907,3.120189,0.146108
202.881853284387,13.5931836011082,2.324351,0.1613375
201.725460912046,14.0673558591212,3.110263,0.1079863
202.882116444248,13.9036020848778,2.464414,0.1646199
200.77538877962,14.564728451432,6.110179,0.1191014
200.840027536684,14.4970538926634,2.050746,0.2014941
200.855718351462,14.6215390529168,1.763493,0.1537746
200.824841592669,13.9233755322126,2.699018,0.156386
203.033762551393,13.7750169817663,1.589862,0.3485391
200.80660650113,14.3604344196431,7.939531,0.1557453
202.460996093689,14.2702644651762,2.047474,0.1465276
203.399439330922,14.6019454648569,1.024229,0.1114688
203.570115059643,14.5140951751636,2.126187,0.1505364
201.188644637316,15.140364862643,7.306417,0.1115674
201.408368570059,15.1187421003645,2.734059,0.1644666
202.269762032372,12.3858020931123,9.314901,0.1072363
201.409194458751,12.4183428150739,3.437198,0.1578487
202.711511603748,12.378289410408,2.211559,0.1489614
202.373155456475,12.8257797386257,2.253047,0.1070015
202.296882270747,12.2067768524807,1.340913,0.2139747
202.645490821011,12.2493299538833,2.679452,0.1618442
202.706982320533,12.3066540693879,7.926953,0.1699071
202.64784633496,12.3351572284616,1.90169,0.3204079
202.287819446,12.604215024727,2.089686,0.2432673
202.171385509302,13.0445589192266,2.940543,0.3004864
200.904231420337,13.7630335337023,3.296794,0.1603207
201.917216721505,13.6243348230776,1.234397,0.1498322
200.823869314514,14.123115561745,6.372592,0.1477136
200.872767822773,14.086992096439,6.208594,0.1154867
200.902889509386,14.1286345445568,1.215162,0.1475123
200.899735766829,14.0767099446234,1.751278,0.1523001
200.926464727031,14.0965592018312,2.404342,0.2089717
200.858767526785,14.0755049478558,7.40481,0.1517314
