#Table1
ra,dec,deVRad_r,z
194.628987707848,28.2336221820637,10.50129,0.02429386
195.632821627891,27.9355359834758,6.218699,0.022083
195.504321624415,27.6529692665898,8.103806,0.02364652
194.658997052094,27.8225827526021,15.51326,0.01798755
194.721057338949,27.8134254983291,6.209782,0.01842033
194.727648509536,27.7956168189585,6.374354,0.02158206
194.735868183527,27.8219846127597,7.560971,0.02904657
194.978597754377,27.7960003600152,3.394129,0.02750633
195.033580146551,27.7733180979145,9.167628,0.02892486
194.449426308868,27.7694430488118,5.249608,0.01928272
194.467957084075,27.7396342945644,4.802572,0.02310237
194.826472027384,27.7157317807831,2.86131,0.02225661
195.17019516335,27.9966036824449,8.122255,0.02363859
194.540409601122,27.5494213129074,5.115221,0.02326917
194.703028661819,27.8104347379211,5.291329,0.01974443
194.886633955294,27.9835999098617,6.776,0.01942776
195.178482299746,27.9630831728301,5.390098,0.02809328
194.3749669616,28.1880718222029,13.88248,0.02312829
194.40496564219,28.0403833913442,12.32316,0.02144919
194.557508660665,28.1825454071342,14.88815,0.02395133
194.673441410993,28.1854913407012,12.32157,0.02682729
194.8071019503,27.4025691279803,3.754774,0.01886249
194.852450824493,27.517337600233,5.068491,0.01965179
194.834590287091,27.435237197549,7.250475,0.02567134
195.046668062856,27.4600839791545,4.200266,0.0228227
194.450278231522,27.8830574728906,5.913918,0.01953211
194.438760209091,27.9059772049761,7.319747,0.02702302
194.507132631156,27.853558836155,4.184562,0.01897641
194.548547795801,27.893662083772,3.49826,0.01914904
194.575873183531,27.8484888859698,10.62613,0.02528228
194.858942661325,28.2875417099058,4.329446,0.02667863
194.733756557692,28.463629028495,9.890933,0.01972125
194.703919061709,28.5399979627666,9.889421,0.02096941
194.846473958468,28.4885986089472,9.693698,0.0233463
194.898630354025,28.5513647259983,3.899453,0.02529903
194.922106048695,28.5071954101907,11.54331,0.02748123
195.007640576844,28.4348164330296,7.008108,0.02699485
195.082823142696,28.4392284427739,7.939473,0.02369337
195.059240619592,28.4580656213662,10.77624,0.02610259
194.922146333642,27.6598262214408,11.343,0.02251487
195.243237919461,27.6520880345483,20.41595,0.01737385
195.313343376905,27.6692238659144,7.271061,0.02355825
195.446831442817,27.6217919690725,10.11898,0.02598125
194.632953269733,28.049613370128,2.568222,0.01903112
194.932181682094,27.9946833857208,3.425483,0.02225102
194.906189530477,28.1661318210296,3.704172,0.01908395
194.965661050222,28.0985259643157,5.830349,0.0255109
194.964420676349,28.0734807464163,10.63796,0.02498956
194.990049149968,28.0650983650021,9.890137,0.01948424
195.033291417377,28.0785665802864,2.751892,0.0241407
195.053597313238,28.0754960776549,3.693606,0.02503316
195.017693325766,28.1551072976378,4.11988,0.02191547
195.037977566511,28.1703924435192,5.118123,0.02252319
195.055934005349,28.0532871738763,13.28639,0.02716134
195.077274091446,28.0971543321854,7.2178,0.02608
195.489890494881,28.0058364644686,9.892246,0.02574884
195.004040490954,27.9454313112633,4.386122,0.02281969
195.025435166895,27.9783006634674,29.67596,0.0254602
195.01561298036,27.964705679981,9.422453,0.01777885
195.04311990404,27.9590679990449,8.43349,0.02111432
195.052609402741,27.7818205349669,5.379975,0.02337322
195.330494542194,27.8604556361445,6.022987,0.02741085
195.382517590132,27.8474999785188,7.564778,0.01822469
195.459255817533,27.8935444618584,3.745817,0.02518096
195.368602982341,27.9265439789628,3.860234,0.02510528
195.39102536636,27.9111024405541,20.22074,0.02189211
194.524303414621,28.3709584505167,11.20793,0.02544974
194.68293910759,28.2826715388061,4.19485,0.02544682
194.83755027636,28.4414771516295,7.949426,0.02189435
195.122312006143,28.4556429094416,12.28926,0.02411931
195.182794772885,28.4163326730284,4.253963,0.02092743
195.361207207261,28.4358939754797,6.932486,0.0192207
194.367263593688,27.7007661438191,6.853213,0.02155076
194.646608296653,27.59640874119,5.117198,0.02564392
194.778525159531,27.7724548926383,4.284105,0.02083039
194.827255285657,27.5935943588469,7.941635,0.01744308
195.026050713646,27.6852929888578,2.798347,0.02516739
195.043379377926,27.5949975652798,6.374953,0.01865591
195.115212136445,27.6252079523193,4.79329,0.01959315
195.29675363848,27.7425053994269,5.886728,0.0245768
195.274232732489,27.7088828176486,12.28772,0.0291256
195.301202251965,27.6044757364926,9.447919,0.02519144
195.402158508294,27.7079322673888,7.184117,0.02639038
195.518083572067,27.6995499077962,4.969039,0.02337415
194.459317214646,28.1703586697569,10.44251,0.02307632
194.625853257776,28.0147532559593,6.632563,0.02383802
194.490495431832,28.0617799441622,14.68228,0.02713996
194.590439499683,28.1487530639571,6.374372,0.02627785
194.606368884908,28.1289242167915,11.10497,0.02736316
194.582201584622,28.0948417555342,20.06636,0.02392415
194.807989078434,28.0762433157455,14.07311,0.0260466
194.683962833394,28.048963151128,8.356043,0.0295911
194.711518885803,28.0840122947982,3.789284,0.02026107
194.769894494007,28.0503851802426,7.938399,0.0268922
194.484286363686,27.5813497711346,9.893069,0.01655244
194.528442730656,27.5768756438433,12.00939,0.02500718
194.618366023763,27.5593782172644,5.948497,0.02526216
194.657624196313,27.4639536798017,19.12624,0.0209099
194.660041733041,27.5441002461781,4.132373,0.01991322
194.776318138544,27.4936310236085,4.922914,0.0272337
